hour,dayofweek,is_weekend,temp_C,humidity_pct,rain_mm,rain_flag,outage_prob_model,duration_off_hours,power_lag1,power_lag24,temp_rolling3,location_Enugu,location_Lagos,location_Nsukka
0,6,1,27.37,54.8,0.0,0,0.497,0,1.0,1.0,27.37,True,False,False
3,6,1,31.69,44.6,0.0,0,0.448,1,1.0,1.0,29.53,True,False,False
6,6,1,32.02,48.1,0.52,1,0.588,0,0.0,1.0,30.360000000000003,True,False,False
9,6,1,32.06,49.7,0.0,0,0.482,1,1.0,1.0,31.923333333333336,True,False,False
12,6,1,26.58,57.7,2.26,1,0.566,0,0.0,1.0,30.22,True,False,False
15,6,1,22.3,64.6,0.0,0,0.427,0,1.0,1.0,26.98,True,False,False
18,6,1,20.55,81.5,0.0,0,0.607,1,1.0,1.0,23.143333333333334,True,False,False
21,6,1,22.78,78.6,0.0,0,0.519,0,0.0,1.0,21.876666666666665,True,False,False
0,0,0,26.73,52.6,0.0,0,0.416,0,1.0,1.0,23.353333333333335,True,False,False
3,0,0,32.52,50.2,5.11,1,0.496,1,1.0,1.0,27.343333333333334,True,False,False
6,0,0,34.12,46.9,0.0,0,0.398,1,0.0,1.0,31.123333333333335,True,False,False
9,0,0,31.76,57.1,0.0,0,0.339,0,0.0,1.0,32.800000000000004,True,False,False
12,0,0,27.41,67.0,3.1,1,0.477,0,1.0,1.0,31.096666666666668,True,False,False
15,0,0,21.92,69.5,0.0,0,0.409,0,1.0,1.0,27.03,True,False,False
18,0,0,20.8,69.7,0.0,0,0.631,1,1.0,1.0,23.37666666666667,True,False,False
21,0,0,22.32,72.3,0.0,0,0.471,0,0.0,1.0,21.680000000000003,True,False,False
0,1,0,27.42,60.3,0.0,0,0.364,0,1.0,1.0,23.513333333333335,True,False,False
3,1,0,29.91,47.0,0.0,0,0.403,1,1.0,1.0,26.55,True,False,False
6,1,0,34.04,43.4,0.0,0,0.347,0,0.0,1.0,30.456666666666667,True,False,False
9,1,0,32.43,43.5,0.0,0,0.39,1,1.0,1.0,32.126666666666665,True,False,False
12,1,0,25.54,56.6,0.0,0,0.367,0,0.0,1.0,30.67,True,False,False
15,1,0,22.07,74.7,1.42,1,0.592,0,1.0,1.0,26.680000000000003,True,False,False
18,1,0,22.59,79.3,0.0,0,0.548,6,1.0,1.0,23.400000000000002,True,False,False
21,1,0,23.39,72.0,0.64,1,0.723,0,0.0,1.0,22.683333333333337,True,False,False
0,2,0,26.86,64.1,0.0,0,0.335,0,1.0,1.0,24.28,True,False,False
3,2,0,30.53,42.0,2.23,1,0.62,1,1.0,0.0,26.926666666666666,True,False,False
6,2,0,33.39,46.8,0.0,0,0.383,0,0.0,1.0,30.26,True,False,False
9,2,0,31.64,49.3,0.0,0,0.358,0,1.0,0.0,31.853333333333335,True,False,False
12,2,0,26.59,65.3,0.0,0,0.4,0,1.0,1.0,30.540000000000003,True,False,False
15,2,0,23.56,76.0,0.29,1,0.603,0,1.0,1.0,27.263333333333332,True,False,False
18,2,0,20.33,77.3,0.0,0,0.505,1,1.0,0.0,23.49333333333333,True,False,False
21,2,0,22.92,71.9,0.0,0,0.502,0,0.0,1.0,22.27,True,False,False
0,3,0,26.81,61.0,0.0,0,0.435,0,1.0,1.0,23.353333333333335,True,False,False
3,3,0,31.64,49.6,1.5,1,0.617,0,1.0,0.0,27.123333333333335,True,False,False
6,3,0,32.7,46.8,0.0,0,0.342,6,1.0,0.0,30.383333333333336,True,False,False
9,3,0,30.73,46.8,0.0,0,0.412,1,0.0,1.0,31.69,True,False,False
12,3,0,26.03,53.6,0.0,0,0.412,0,0.0,1.0,29.820000000000004,True,False,False
15,3,0,25.82,68.6,0.0,0,0.384,0,1.0,1.0,27.526666666666667,True,False,False
18,3,0,20.53,84.2,0.64,1,0.645,0,1.0,0.0,24.126666666666665,True,False,False
21,3,0,22.13,57.8,0.0,0,0.534,0,1.0,1.0,22.826666666666664,True,False,False
0,4,0,26.4,57.8,0.95,1,0.655,6,1.0,1.0,23.02,True,False,False
3,4,0,30.01,49.1,2.53,1,0.534,0,0.0,0.0,26.180000000000003,True,False,False
6,4,0,32.88,50.6,0.0,0,0.325,1,1.0,1.0,29.763333333333332,True,False,False
9,4,0,32.21,41.3,0.0,0,0.45,5,0.0,0.0,31.7,True,False,False
12,4,0,29.14,65.7,0.0,0,0.443,2,0.0,1.0,31.409999999999997,True,False,False
15,4,0,23.06,77.4,0.39,1,0.525,0,0.0,1.0,28.136666666666667,True,False,False
18,4,0,20.1,68.7,0.31,1,0.611,0,1.0,0.0,24.099999999999998,True,False,False
21,4,0,22.37,71.7,1.76,1,0.713,1,1.0,1.0,21.843333333333334,True,False,False
0,5,1,26.86,66.1,0.0,0,0.47,1,0.0,1.0,23.11,True,False,False
3,5,1,31.4,51.2,0.0,0,0.493,0,0.0,0.0,26.876666666666665,True,False,False
6,5,1,31.27,44.7,0.0,0,0.415,0,1.0,1.0,29.843333333333334,True,False,False
9,5,1,31.23,48.3,0.0,0,0.449,1,1.0,1.0,31.3,True,False,False
12,5,1,26.63,65.2,0.0,0,0.407,0,0.0,1.0,29.709999999999997,True,False,False
15,5,1,21.47,66.8,0.0,0,0.478,0,1.0,1.0,26.44333333333333,True,False,False
18,5,1,23.26,74.2,0.0,0,0.558,0,1.0,0.0,23.786666666666665,True,False,False
21,5,1,23.35,76.6,0.0,0,0.552,0,1.0,1.0,22.69333333333334,True,False,False
0,6,1,27.49,68.1,0.0,0,0.4,1,1.0,1.0,24.700000000000003,True,False,False
3,6,1,30.75,42.3,0.0,0,0.473,0,0.0,1.0,27.19666666666667,True,False,False
6,6,1,34.58,44.5,0.0,0,0.488,0,1.0,0.0,30.939999999999998,True,False,False
9,6,1,29.76,56.6,0.0,0,0.367,0,1.0,0.0,31.69666666666667,True,False,False
12,6,1,27.04,60.0,0.0,0,0.509,0,1.0,1.0,30.460000000000004,True,False,False
15,6,1,21.84,66.3,0.0,0,0.477,2,1.0,1.0,26.21333333333334,True,False,False
18,6,1,22.36,71.8,0.74,1,0.773,1,0.0,1.0,23.74666666666667,True,False,False
21,6,1,22.58,72.8,3.98,1,0.73,0,0.0,1.0,22.26,True,False,False
0,0,0,27.59,64.9,0.0,0,0.457,0,1.0,0.0,24.176666666666666,True,False,False
3,0,0,31.37,49.8,0.18,1,0.598,0,1.0,1.0,27.180000000000003,True,False,False
6,0,0,32.18,51.9,0.0,0,0.464,0,1.0,0.0,30.380000000000006,True,False,False
9,0,0,30.78,54.5,0.0,0,0.409,1,1.0,0.0,31.44333333333334,True,False,False
12,0,0,25.97,72.3,0.0,0,0.379,0,0.0,0.0,29.643333333333334,True,False,False
15,0,0,23.78,66.6,0.01,1,0.511,2,1.0,1.0,26.843333333333334,True,False,False
18,0,0,19.41,72.6,0.85,1,0.667,0,0.0,1.0,23.053333333333338,True,False,False
21,0,0,24.35,70.4,0.0,0,0.541,1,1.0,0.0,22.513333333333335,True,False,False
0,1,0,27.39,56.0,0.84,1,0.611,0,0.0,0.0,23.71666666666667,True,False,False
3,1,0,32.4,57.0,0.0,0,0.415,0,1.0,1.0,28.04666666666667,True,False,False
6,1,0,33.79,48.3,0.0,0,0.477,1,1.0,1.0,31.19333333333334,True,False,False
9,1,0,31.54,42.8,0.0,0,0.5,1,0.0,0.0,32.57666666666667,True,False,False
12,1,0,23.94,63.1,0.0,0,0.387,1,0.0,1.0,29.75666666666667,True,False,False
15,1,0,24.19,66.8,0.0,0,0.399,1,0.0,1.0,26.556666666666672,True,False,False
18,1,0,21.79,88.6,0.0,0,0.48,0,0.0,1.0,23.306666666666672,True,False,False
21,1,0,23.18,80.2,0.59,1,0.675,2,1.0,1.0,23.05333333333334,True,False,False
0,2,0,26.97,61.8,0.0,0,0.409,2,0.0,0.0,23.980000000000004,True,False,False
3,2,0,30.59,51.7,5.01,1,0.61,5,0.0,1.0,26.913333333333338,True,False,False
6,2,0,32.5,56.1,0.0,0,0.463,0,0.0,1.0,30.02,True,False,False
9,2,0,32.35,52.7,5.13,1,0.534,0,1.0,1.0,31.813333333333336,True,False,False
12,2,0,29.79,67.6,0.0,0,0.37,0,1.0,1.0,31.54666666666667,True,False,False
15,2,0,23.31,75.5,0.0,0,0.336,0,1.0,0.0,28.483333333333334,True,False,False
18,2,0,21.54,77.8,0.0,0,0.536,1,1.0,0.0,24.88,True,False,False
21,2,0,21.34,67.8,1.65,1,0.717,1,0.0,1.0,22.063333333333333,True,False,False
0,3,0,28.57,58.4,0.0,0,0.337,0,0.0,1.0,23.816666666666666,True,False,False
3,3,0,29.84,59.4,2.39,1,0.496,5,1.0,1.0,26.58333333333334,True,False,False
6,3,0,32.13,42.1,0.0,0,0.331,1,0.0,1.0,30.180000000000003,True,False,False
9,3,0,32.12,41.5,0.0,0,0.389,2,0.0,0.0,31.363333333333333,True,False,False
12,3,0,25.05,48.3,1.39,1,0.557,2,0.0,1.0,29.766666666666666,True,False,False
15,3,0,24.27,63.5,0.83,1,0.605,4,0.0,0.0,27.146666666666665,True,False,False
18,3,0,22.41,76.0,0.0,0,0.403,0,0.0,1.0,23.91,True,False,False
21,3,0,20.99,73.1,0.0,0,0.497,0,1.0,0.0,22.556666666666672,True,False,False
0,4,0,27.47,51.2,0.0,0,0.406,3,1.0,1.0,23.623333333333335,True,False,False
