date_time,location,hour,dayofweek,is_weekend,temp_C,humidity_pct,rain_mm,rain_flag,outage_prob_model,power_status,duration_off_hours
2025-06-01 00:00:00,Enugu,0,6,1,27.37,54.8,0.0,0,0.497,1,0
2025-06-01 01:00:00,Lagos,1,6,1,27.99,56.8,0.0,0,0.449,1,0
2025-06-01 02:00:00,Nsukka,2,6,1,30.06,56.4,0.0,0,0.706,0,1
2025-06-01 03:00:00,Enugu,3,6,1,31.69,44.6,0.0,0,0.448,0,1
2025-06-01 04:00:00,Lagos,4,6,1,34.66,46.2,0.0,0,0.432,1,0
2025-06-01 05:00:00,Nsukka,5,6,1,32.23,47.6,0.0,0,0.757,0,1
2025-06-01 06:00:00,Enugu,6,6,1,32.02,48.1,0.52,1,0.588,1,0
2025-06-01 07:00:00,Lagos,7,6,1,34.58,49.2,0.0,0,0.391,1,0
2025-06-01 08:00:00,Nsukka,8,6,1,30.4,48.2,0.0,0,0.661,0,1
2025-06-01 09:00:00,Enugu,9,6,1,32.06,49.7,0.0,0,0.482,0,1
2025-06-01 10:00:00,Lagos,10,6,1,30.44,49.3,0.19,1,0.587,0,3
2025-06-01 11:00:00,Nsukka,11,6,1,27.15,56.9,0.0,0,0.686,1,0
2025-06-01 12:00:00,Enugu,12,6,1,26.58,57.7,2.26,1,0.566,1,0
2025-06-01 13:00:00,Lagos,13,6,1,25.34,66.4,0.0,0,0.485,0,1
2025-06-01 14:00:00,Nsukka,14,6,1,23.75,66.0,0.0,0,0.617,1,0
2025-06-01 15:00:00,Enugu,15,6,1,22.3,64.6,0.0,0,0.427,1,0
2025-06-01 16:00:00,Lagos,16,6,1,23.38,75.2,0.0,0,0.445,1,0
2025-06-01 17:00:00,Nsukka,17,6,1,20.11,66.1,0.76,1,0.78,0,6
2025-06-01 18:00:00,Enugu,18,6,1,20.55,81.5,0.0,0,0.607,0,1
2025-06-01 19:00:00,Lagos,19,6,1,21.06,72.8,0.0,0,0.484,1,0
2025-06-01 20:00:00,Nsukka,20,6,1,21.09,70.0,0.0,0,0.774,0,2
2025-06-01 21:00:00,Enugu,21,6,1,22.78,78.6,0.0,0,0.519,1,0
2025-06-01 22:00:00,Lagos,22,6,1,25.26,74.3,0.0,0,0.588,1,0
2025-06-01 23:00:00,Nsukka,23,6,1,23.02,60.7,0.0,0,0.751,0,3
2025-06-02 00:00:00,Enugu,0,0,0,26.73,52.6,0.0,0,0.416,1,0
2025-06-02 01:00:00,Lagos,1,0,0,31.95,70.7,0.0,0,0.351,1,0
2025-06-02 02:00:00,Nsukka,2,0,0,29.32,48.4,0.0,0,0.569,1,0
2025-06-02 03:00:00,Enugu,3,0,0,32.52,50.2,5.11,1,0.496,0,1
2025-06-02 04:00:00,Lagos,4,0,0,33.53,55.8,0.0,0,0.449,0,2
2025-06-02 05:00:00,Nsukka,5,0,0,30.64,41.9,0.0,0,0.559,0,1
2025-06-02 06:00:00,Enugu,6,0,0,34.12,46.9,0.0,0,0.398,0,1
2025-06-02 07:00:00,Lagos,7,0,0,33.25,39.4,0.0,0,0.409,0,2
2025-06-02 08:00:00,Nsukka,8,0,0,31.05,48.4,0.0,0,0.611,0,1
2025-06-02 09:00:00,Enugu,9,0,0,31.76,57.1,0.0,0,0.339,1,0
2025-06-02 10:00:00,Lagos,10,0,0,32.98,61.1,0.17,1,0.653,0,1
2025-06-02 11:00:00,Nsukka,11,0,0,26.48,59.3,0.0,0,0.6,1,0
2025-06-02 12:00:00,Enugu,12,0,0,27.41,67.0,3.1,1,0.477,1,0
2025-06-02 13:00:00,Lagos,13,0,0,25.44,57.8,2.6,1,0.626,0,1
2025-06-02 14:00:00,Nsukka,14,0,0,22.42,65.9,0.0,0,0.627,0,2
2025-06-02 15:00:00,Enugu,15,0,0,21.92,69.5,0.0,0,0.409,1,0
2025-06-02 16:00:00,Lagos,16,0,0,22.91,74.1,0.0,0,0.494,0,5
2025-06-02 17:00:00,Nsukka,17,0,0,18.45,71.5,0.06,1,0.744,0,1
2025-06-02 18:00:00,Enugu,18,0,0,20.8,69.7,0.0,0,0.631,0,1
2025-06-02 19:00:00,Lagos,19,0,0,23.55,74.0,0.0,0,0.447,1,0
2025-06-02 20:00:00,Nsukka,20,0,0,19.26,67.5,0.0,0,0.865,1,0
2025-06-02 21:00:00,Enugu,21,0,0,22.32,72.3,0.0,0,0.471,1,0
2025-06-02 22:00:00,Lagos,22,0,0,25.93,69.7,0.0,0,0.513,1,0
2025-06-02 23:00:00,Nsukka,23,0,0,24.16,62.6,0.33,1,0.924,0,1
2025-06-03 00:00:00,Enugu,0,1,0,27.42,60.3,0.0,0,0.364,1,0
2025-06-03 01:00:00,Lagos,1,1,0,29.44,66.6,0.0,0,0.419,1,0
2025-06-03 02:00:00,Nsukka,2,1,0,27.67,58.5,4.02,1,0.693,0,2
2025-06-03 03:00:00,Enugu,3,1,0,29.91,47.0,0.0,0,0.403,0,1
2025-06-03 04:00:00,Lagos,4,1,0,32.89,47.8,0.0,0,0.272,1,0
2025-06-03 05:00:00,Nsukka,5,1,0,32.01,47.0,0.63,1,0.796,0,1
2025-06-03 06:00:00,Enugu,6,1,0,34.04,43.4,0.0,0,0.347,1,0
2025-06-03 07:00:00,Lagos,7,1,0,35.36,48.4,0.0,0,0.459,1,0
2025-06-03 08:00:00,Nsukka,8,1,0,33.29,49.2,0.0,0,0.585,0,1
2025-06-03 09:00:00,Enugu,9,1,0,32.43,43.5,0.0,0,0.39,0,1
2025-06-03 10:00:00,Lagos,10,1,0,33.18,56.2,0.0,0,0.397,0,1
2025-06-03 11:00:00,Nsukka,11,1,0,29.37,59.3,0.0,0,0.549,1,0
2025-06-03 12:00:00,Enugu,12,1,0,25.54,56.6,0.0,0,0.367,1,0
2025-06-03 13:00:00,Lagos,13,1,0,27.18,52.4,0.0,0,0.404,0,2
2025-06-03 14:00:00,Nsukka,14,1,0,20.52,64.5,0.82,1,0.854,0,1
2025-06-03 15:00:00,Enugu,15,1,0,22.07,74.7,1.42,1,0.592,1,0
2025-06-03 16:00:00,Lagos,16,1,0,21.77,72.3,0.27,1,0.63,0,1
2025-06-03 17:00:00,Nsukka,17,1,0,21.98,70.8,0.0,0,0.61,0,1
2025-06-03 18:00:00,Enugu,18,1,0,22.59,79.3,0.0,0,0.548,0,6
2025-06-03 19:00:00,Lagos,19,1,0,19.8,82.5,0.0,0,0.525,1,0
2025-06-03 20:00:00,Nsukka,20,1,0,18.88,66.7,0.0,0,0.68,1,0
2025-06-03 21:00:00,Enugu,21,1,0,23.39,72.0,0.64,1,0.723,1,0
2025-06-03 22:00:00,Lagos,22,1,0,25.17,71.3,0.0,0,0.547,1,0
2025-06-03 23:00:00,Nsukka,23,1,0,24.23,64.9,5.83,1,0.926,1,0
2025-06-04 00:00:00,Enugu,0,2,0,26.86,64.1,0.0,0,0.335,1,0
2025-06-04 01:00:00,Lagos,1,2,0,26.75,52.7,0.0,0,0.386,0,4
2025-06-04 02:00:00,Nsukka,2,2,0,30.59,52.2,0.7,1,0.848,0,2
2025-06-04 03:00:00,Enugu,3,2,0,30.53,42.0,2.23,1,0.62,0,1
2025-06-04 04:00:00,Lagos,4,2,0,33.67,41.8,6.41,1,0.488,1,0
2025-06-04 05:00:00,Nsukka,5,2,0,31.07,42.8,0.0,0,0.567,0,6
2025-06-04 06:00:00,Enugu,6,2,0,33.39,46.8,0.0,0,0.383,1,0
2025-06-04 07:00:00,Lagos,7,2,0,35.08,43.9,0.0,0,0.419,1,0
2025-06-04 08:00:00,Nsukka,8,2,0,31.61,56.8,0.04,1,0.788,0,1
2025-06-04 09:00:00,Enugu,9,2,0,31.64,49.3,0.0,0,0.358,1,0
2025-06-04 10:00:00,Lagos,10,2,0,28.51,46.9,0.4,1,0.677,1,0
2025-06-04 11:00:00,Nsukka,11,2,0,26.4,57.9,0.0,0,0.586,0,1
2025-06-04 12:00:00,Enugu,12,2,0,26.59,65.3,0.0,0,0.4,1,0
2025-06-04 13:00:00,Lagos,13,2,0,26.71,71.0,0.0,0,0.429,1,0
2025-06-04 14:00:00,Nsukka,14,2,0,22.8,63.6,0.0,0,0.557,0,1
2025-06-04 15:00:00,Enugu,15,2,0,23.56,76.0,0.29,1,0.603,1,0
2025-06-04 16:00:00,Lagos,16,2,0,23.93,63.8,3.31,1,0.505,1,0
2025-06-04 17:00:00,Nsukka,17,2,0,21.28,70.9,1.46,1,0.753,0,5
2025-06-04 18:00:00,Enugu,18,2,0,20.33,77.3,0.0,0,0.505,0,1
2025-06-04 19:00:00,Lagos,19,2,0,23.15,76.2,0.63,1,0.745,0,3
2025-06-04 20:00:00,Nsukka,20,2,0,19.74,79.7,0.84,1,0.878,1,0
2025-06-04 21:00:00,Enugu,21,2,0,22.92,71.9,0.0,0,0.502,1,0
2025-06-04 22:00:00,Lagos,22,2,0,24.46,69.8,0.0,0,0.552,0,3
2025-06-04 23:00:00,Nsukka,23,2,0,21.57,59.9,5.03,1,0.912,0,4
2025-06-05 00:00:00,Enugu,0,3,0,26.81,61.0,0.0,0,0.435,1,0
2025-06-05 01:00:00,Lagos,1,3,0,30.01,58.9,0.0,0,0.502,0,7
2025-06-05 02:00:00,Nsukka,2,3,0,28.1,47.3,0.0,0,0.556,1,0
2025-06-05 03:00:00,Enugu,3,3,0,31.64,49.6,1.5,1,0.617,1,0
2025-06-05 04:00:00,Lagos,4,3,0,32.41,49.8,0.0,0,0.328,1,0
2025-06-05 05:00:00,Nsukka,5,3,0,32.11,41.0,0.0,0,0.527,0,3
2025-06-05 06:00:00,Enugu,6,3,0,32.7,46.8,0.0,0,0.342,0,6
2025-06-05 07:00:00,Lagos,7,3,0,34.65,55.5,0.0,0,0.358,0,1
2025-06-05 08:00:00,Nsukka,8,3,0,29.73,48.3,0.0,0,0.517,1,0
2025-06-05 09:00:00,Enugu,9,3,0,30.73,46.8,0.0,0,0.412,0,1
2025-06-05 10:00:00,Lagos,10,3,0,30.31,58.9,0.0,0,0.368,0,4
2025-06-05 11:00:00,Nsukka,11,3,0,28.09,47.7,0.11,1,0.792,0,3
2025-06-05 12:00:00,Enugu,12,3,0,26.03,53.6,0.0,0,0.412,1,0
2025-06-05 13:00:00,Lagos,13,3,0,28.19,61.7,1.57,1,0.549,1,0
2025-06-05 14:00:00,Nsukka,14,3,0,22.36,65.4,0.0,0,0.548,0,1
2025-06-05 15:00:00,Enugu,15,3,0,25.82,68.6,0.0,0,0.384,1,0
2025-06-05 16:00:00,Lagos,16,3,0,22.58,67.4,0.05,1,0.505,0,2
2025-06-05 17:00:00,Nsukka,17,3,0,20.03,77.6,0.0,0,0.536,0,1
2025-06-05 18:00:00,Enugu,18,3,0,20.53,84.2,0.64,1,0.645,1,0
2025-06-05 19:00:00,Lagos,19,3,0,22.59,70.1,0.0,0,0.581,0,3
2025-06-05 20:00:00,Nsukka,20,3,0,20.78,68.5,1.74,1,0.815,0,5
2025-06-05 21:00:00,Enugu,21,3,0,22.13,57.8,0.0,0,0.534,1,0
2025-06-05 22:00:00,Lagos,22,3,0,23.42,71.7,1.64,1,0.719,0,1
2025-06-05 23:00:00,Nsukka,23,3,0,24.25,68.0,0.0,0,0.783,0,1
2025-06-06 00:00:00,Enugu,0,4,0,26.4,57.8,0.95,1,0.655,0,6
2025-06-06 01:00:00,Lagos,1,4,0,29.93,54.9,11.08,1,0.541,1,0
2025-06-06 02:00:00,Nsukka,2,4,0,27.84,47.9,0.0,0,0.656,1,0
2025-06-06 03:00:00,Enugu,3,4,0,30.01,49.1,2.53,1,0.534,1,0
2025-06-06 04:00:00,Lagos,4,4,0,32.93,50.2,0.17,1,0.528,1,0
2025-06-06 05:00:00,Nsukka,5,4,0,31.54,39.4,0.0,0,0.634,0,1
2025-06-06 06:00:00,Enugu,6,4,0,32.88,50.6,0.0,0,0.325,0,1
2025-06-06 07:00:00,Lagos,7,4,0,34.13,49.3,3.15,1,0.602,1,0
2025-06-06 08:00:00,Nsukka,8,4,0,31.85,46.1,0.0,0,0.608,1,0
2025-06-06 09:00:00,Enugu,9,4,0,32.21,41.3,0.0,0,0.45,0,5
